湖南频道,#genre#
湖南卫视4K,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5216
湖南经视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5377
湖南娱乐高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5391
湖南电影高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5405
湖南都市高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5398
湖南电视剧高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5412
快乐购高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5426
金鹰纪实高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5384
湖南爱晚高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5419
金鹰卡通高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5349
导视频道,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5370
湖南教育频道,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5356
央视频道,#genre#
CCTV-1高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5104
CCTV-2高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5111
CCTV-3高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5118
CCTV-4高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5125
CCTV-5高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5139
CCTV-5+高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5132
CCTV-6高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5146
CCTV-7高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5153
CCTV-8高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5160
CCTV-9高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5167
CCTV-10高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5174
CCTV-11戏曲,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5517
CCTV-12高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5538
CCTV-13新闻,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5524
CCTV-14高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5545
CCTV-15音乐,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5531
CCTV-17高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5552
CCTV-4K,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=6834
卫视频道,#genre#
江苏卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5244
浙江卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5237
东方卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5258
北京卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5223
广东卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5251
深圳卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5230
天津卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5300
湖北卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5265
安徽卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5272
重庆卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5307
黑龙江卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5293
辽宁卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5279
广西卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5209
青海卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5601
山西卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5559
内蒙古卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5608
宁夏卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5573
云南卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5181
西藏卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5195
陕西卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5580
新疆卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5202
兵团卫视高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5861
教育少儿,#genre#
卡酷动画,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5882
CETV-1,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5896
CETV-4,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=6827
金鹰卡通高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5349
国际频道,#genre#
CGTN,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=6841
CGTN-A,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=6848
CGTN-R,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=6855
CGTN-E,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=6862
CGTN-F,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=6869
特色频道,#genre#
红星党建,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=6778
快乐垂钓高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5685
四海钓鱼高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5454
茶频道高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5692
先锋乒羽,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5657
生活时尚高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5503
劲爆体育高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5468
多彩文体4K,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5475
CHC高清电影,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5664
游戏风云高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5489
天元围棋高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5433
动漫秀场高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5671
书画频道,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5636
乐游高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5482
中华特产,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=6876
法治天地高清,http://kxz.kaniptv.cn/xz/xz_5baf22b592/湖南广电.php?id=5678
