央视频道,#genre#
CCTV-1高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=304&n=cctv1hd_2000
CCTV-2高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=38&n=cctv2hd_2000
CCTV-3高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=306&n=cctv3hd_2000
CCTV-4高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=34&n=cctv4hd_2000
CCTV-5高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=308&n=cctv5hd_2000
CCTV-5+高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=314&n=cctv5plushd_2000
CCTV-6高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=310&n=cctv6hd_2000
CCTV-7高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=536&n=cctv7hd_2000
CCTV-8高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=312&n=cctv8hd_2000
CCTV-9高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=82&n=cctv9hd_2000
CCTV-10高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=44&n=cctv10_1200
CCTV-11高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=538&n=cctv11hd_2000
CCTV-12高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=540&n=cctv12hd_2000
CCTV-13高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=46&n=cctv13_1200
CCTV-14高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=546&n=cctv14_2000
CCTV-15高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=548&n=cctv15_2000
CCTV-16高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=632&n=cctv16hd_2000
CCTV-17高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=550&n=cctv17_2000
CCTV-卫生健康,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=550&n=klcdhd_2000
卫视频道,#genre#
湖南卫视高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=290&n=hnwshd_2000
广东卫视高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=542&n=gdwshd_2000
山东卫视高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=280&n=sdwshd_2000
江苏卫视高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=294&n=jswshd_2000
北京卫视高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=288&n=bjwshd_2000
东方卫视高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=286&n=dfwshd_2000
浙江卫视高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=292&n=zjwshd_2000
深圳卫视高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=284&n=szwshd_2000
东南卫视高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=58&n=dnwshd_2000
厦门卫视高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=24&n=xm1_1200
